target,status,err,completion_time
EURUSD,1,ok,2018-11-21 02:22:18
EEM,1,ok,2018-11-21 02:45:21
EFA,1,ok,2018-11-21 03:08:56
EWZ,1,ok,2018-11-21 03:32:55
FXI,1,ok,2018-11-21 01:51:57
GDX,1,ok,2018-11-21 02:17:57
HYG,1,ok,2018-11-21 02:42:09
IAU,1,ok,2018-11-21 03:06:34
IWM,1,ok,2018-11-21 01:51:45
SPY,1,ok,2018-11-21 02:17:46
USO,1,ok,2018-11-21 02:41:54
VWO,1,ok,2018-11-21 03:06:13
XLE,1,ok,2018-11-21 01:51:53
XLF,1,ok,2018-11-21 02:17:51
XLI,1,ok,2018-11-21 02:42:05
XLK,1,ok,2018-11-21 03:06:21
XLP,1,ok,2018-11-21 03:30:55
XLU,1,ok,2018-11-21 03:56:20
XOP,1,ok,2018-11-21 04:23:02
JNK,1,ok,2018-11-21 04:49:40
IYR,1,ok,2018-11-21 03:31:01
VEA,1,ok,2018-11-21 03:56:01
SLV,1,ok,2018-11-21 04:22:30
XLV,1,ok,2018-11-21 04:48:46
RSX,1,ok,2018-11-21 03:31:19
TLT,1,ok,2018-11-21 03:56:21
EWJ,1,ok,2018-11-21 04:23:04
OIH,1,ok,2018-11-21 04:49:41
GLD,1,ok,2018-11-21 03:57:43
EZU,1,ok,2018-11-21 04:24:10
KRE,1,ok,2018-11-21 04:50:35
SMH,1,ok,2018-11-21 05:17:01
XLB,1,ok,2018-11-21 05:15:12
XRT,1,ok,2018-11-21 05:41:39
LQD,1,ok,2018-11-21 06:08:03
EWT,1,ok,2018-11-21 06:34:39
XLY,1,ok,2018-11-21 05:16:19
VNQ,1,ok,2018-11-21 05:42:36
EWH,1,ok,2018-11-21 06:09:07
EWW,1,ok,2018-11-21 06:35:55
XBI,1,ok,2018-11-21 05:16:19
DIA,1,ok,2018-11-21 05:42:50
EWG,1,ok,2018-11-21 06:09:31
VGK,1,ok,2018-11-21 06:36:20
IEF,1,ok,2018-11-21 05:43:17
EMB,1,ok,2018-11-21 06:09:47
FEZ,1,ok,2018-11-21 06:36:28
AGG,1,ok,2018-11-21 07:03:17
ITB,1,ok,2018-11-21 07:01:36
EWC,1,ok,2018-11-21 07:23:46
UNG,1,ok,2018-11-21 07:39:41
USDJPY,1,ok,2018-11-21 08:29:04
GBPUSD,1,ok,2018-11-21 07:31:29
AUDUSD,1,ok,2018-11-21 08:22:25
USDCAD,1,ok,2018-11-21 08:55:49
EURJPY,1,ok,2018-11-21 09:30:37
NZDUSD,1,ok,2018-11-21 07:31:51
XAGUSD,1,ok,2018-11-21 08:23:05
