target,status,err,completion_time
EURUSD,1,ok,2018-11-01 15:40:01
EEM,1,ok,2018-11-01 16:01:23
EFA,1,ok,2018-11-01 16:22:57
EWZ,1,ok,2018-11-01 14:43:44
FXI,1,ok,2018-11-01 15:07:55
HYG,1,ok,2018-11-01 15:31:38
IAU,1,ok,2018-11-01 14:43:50
IWM,1,ok,2018-11-01 15:07:58
SPY,1,ok,2018-11-01 15:31:41
VWO,1,ok,2018-11-01 14:43:40
XLE,1,ok,2018-11-01 15:07:52
XLF,1,ok,2018-11-01 15:31:41
XLI,1,ok,2018-11-01 14:43:44
XLK,1,ok,2018-11-01 15:07:53
XLP,1,ok,2018-11-01 15:31:38
XLU,1,ok,2018-11-01 15:54:29
XOP,1,ok,2018-11-01 16:17:28
JNK,1,ok,2018-11-01 16:40:33
IYR,1,ok,2018-11-01 15:54:26
VEA,1,ok,2018-11-01 16:17:27
SLV,1,ok,2018-11-01 16:40:27
XLV,1,ok,2018-11-01 15:54:29
RSX,1,ok,2018-11-01 16:17:31
TLT,1,ok,2018-11-01 16:40:30
EWJ,1,ok,2018-11-01 15:54:29
OIH,1,ok,2018-11-01 16:17:31
GLD,1,ok,2018-11-01 16:40:28
EZU,1,ok,2018-11-01 16:44:35
KRE,1,ok,2018-11-01 17:06:20
SMH,1,ok,2018-11-01 17:28:26
XLB,1,ok,2018-11-01 17:03:14
XRT,1,ok,2018-11-01 17:26:12
LQD,1,ok,2018-11-01 17:49:18
EWT,1,ok,2018-11-01 17:03:15
XLY,1,ok,2018-11-01 17:26:12
VNQ,1,ok,2018-11-01 17:49:13
EWH,1,ok,2018-11-01 17:03:21
EWW,1,ok,2018-11-01 17:26:16
XBI,1,ok,2018-11-01 17:49:23
DIA,1,ok,2018-11-01 17:03:26
EWG,1,ok,2018-11-01 17:26:22
VGK,1,ok,2018-11-01 17:49:19
IEF,1,ok,2018-11-01 17:50:52
EMB,1,ok,2018-11-01 18:08:00
FEZ,1,ok,2018-11-01 18:28:01
AGG,1,ok,2018-11-01 18:06:09
EWC,1,ok,2018-11-01 18:26:09
USDJPY,1,ok,2018-11-01 19:15:46
AUDUSD,1,ok,2018-11-01 18:50:02
USDCAD,1,ok,2018-11-01 19:32:18
EURJPY,1,ok,2018-11-01 20:09:54
NZDUSD,1,ok,2018-11-01 18:50:04
