target,status,err,completion_time
EURUSD,1,ok,2019-01-09 16:08:28
EEM,1,ok,2019-01-09 21:07:34
EFA,1,ok,2019-01-10 02:31:05
EWZ,1,ok,2019-01-10 08:02:14
FXI,1,ok,2019-01-09 03:13:42
GDX,1,ok,2019-01-09 09:02:37
HYG,1,ok,2019-01-09 14:45:37
IAU,1,ok,2019-01-09 20:21:47
IWM,1,ok,2019-01-09 03:03:38
SPY,1,ok,2019-01-09 08:55:40
USO,1,ok,2019-01-09 14:39:22
VWO,1,ok,2019-01-09 20:14:56
XLE,1,ok,2019-01-09 03:03:26
XLF,1,ok,2019-01-09 08:54:09
XLI,1,ok,2019-01-09 14:34:39
XLK,1,ok,2019-01-09 20:03:49
XLP,1,ok,2019-01-09 03:06:29
XLU,1,ok,2019-01-09 08:59:06
XOP,1,ok,2019-01-09 14:43:59
JNK,1,ok,2019-01-09 20:19:33
IYR,1,ok,2019-01-10 01:33:06
VEA,1,ok,2019-01-10 06:52:18
SLV,1,ok,2019-01-10 11:53:53
XLV,1,ok,2019-01-10 17:01:56
RSX,1,ok,2019-01-10 01:57:00
TLT,1,ok,2019-01-10 07:38:20
EWJ,1,ok,2019-01-10 12:55:01
OIH,1,ok,2019-01-10 18:03:07
GLD,1,ok,2019-01-10 02:05:55
EZU,1,ok,2019-01-10 07:49:41
KRE,1,ok,2019-01-10 13:21:15
SMH,1,ok,2019-01-10 18:50:44
XLB,1,ok,2019-01-10 02:08:57
XRT,1,ok,2019-01-10 07:54:30
LQD,1,ok,2019-01-10 13:29:04
EWT,1,ok,2019-01-10 19:04:27
XLY,1,ok,2019-01-10 13:32:27
VNQ,1,ok,2019-01-10 19:03:55
EWH,1,ok,2019-01-11 00:40:28
EWW,1,ok,2019-01-11 06:25:11
XBI,1,ok,2019-01-10 22:10:05
DIA,1,ok,2019-01-11 03:40:00
EWG,1,ok,2019-01-11 09:06:26
VGK,1,ok,2019-01-11 14:25:11
IEF,1,ok,2019-01-10 23:14:30
EMB,1,ok,2019-01-11 04:42:39
FEZ,1,ok,2019-01-11 10:05:35
AGG,1,ok,2019-01-11 15:17:35
UCO,1,ok,2019-01-11 00:22:29
EWY,1,ok,2019-01-11 06:02:33
ITB,1,ok,2019-01-11 11:22:27
XHB,1,ok,2019-01-11 16:10:15
TBT,1,ok,2019-01-11 00:42:17
DBC,1,ok,2019-01-11 06:29:48
IBB,1,ok,2019-01-11 12:00:48
EWC,1,ok,2019-01-11 16:41:14
UNG,1,ok,2019-01-11 11:52:09
SHY,1,ok,2019-01-11 16:33:45
PFF,1,ok,2019-01-11 21:00:36
USDJPY,1,ok,2019-01-12 11:16:55
GBPUSD,1,ok,2019-01-12 05:58:45
AUDUSD,1,ok,2019-01-12 15:49:06
USDCHF,1,ok,2019-01-12 23:53:57
USDCAD,1,ok,2019-01-13 07:56:28
EURJPY,1,ok,2019-01-12 06:55:34
EURGBP,1,ok,2019-01-12 16:22:16
NZDUSD,1,ok,2019-01-13 00:28:43
XAGUSD,1,ok,2019-01-13 08:32:54
XAUUSD,1,ok,2019-01-12 07:36:17
