target,status,err,completion_time
EURUSD,1,ok: continue,2018-11-22 23:13:04
EEM,1,ok: continue,2018-11-22 23:13:04
EFA,1,ok: continue,2018-11-22 23:13:04
EWZ,1,ok: continue,2018-11-22 23:13:04
FXI,1,ok: continue,2018-11-22 23:13:04
GDX,1,ok: continue,2018-11-22 23:13:04
HYG,1,ok: continue,2018-11-22 23:13:04
IAU,1,ok: continue,2018-11-22 23:13:04
IWM,1,ok: continue,2018-11-22 23:13:04
SPY,1,ok: continue,2018-11-22 23:13:04
USO,1,ok: continue,2018-11-22 23:13:04
VWO,1,ok: continue,2018-11-22 23:13:04
XLE,1,ok: continue,2018-11-22 23:13:04
XLF,1,ok: continue,2018-11-22 23:13:04
XLI,1,ok: continue,2018-11-22 23:13:04
XLK,1,ok: continue,2018-11-22 23:13:04
XLP,1,ok: continue,2018-11-22 23:13:04
XLU,1,ok: continue,2018-11-22 23:13:04
XOP,1,ok: continue,2018-11-22 23:13:04
JNK,1,ok: continue,2018-11-22 23:13:04
IYR,1,ok: continue,2018-11-22 23:13:04
VEA,1,ok: continue,2018-11-22 23:13:04
SLV,1,ok: continue,2018-11-22 23:13:04
XLV,1,ok: continue,2018-11-22 23:13:04
RSX,1,ok: continue,2018-11-22 23:13:04
TLT,1,ok: continue,2018-11-22 23:13:04
EWJ,1,ok: continue,2018-11-22 23:13:04
OIH,1,ok: continue,2018-11-22 23:13:04
GLD,1,ok: continue,2018-11-22 23:13:04
EZU,1,ok: continue,2018-11-22 23:13:04
KRE,1,ok: continue,2018-11-22 23:13:04
SMH,1,ok: continue,2018-11-22 23:13:04
XLB,1,ok: continue,2018-11-22 23:13:04
XRT,1,ok: continue,2018-11-22 23:13:04
LQD,1,ok: continue,2018-11-22 23:13:04
EWT,1,ok: continue,2018-11-22 23:13:04
XLY,1,ok: continue,2018-11-22 23:13:04
VNQ,1,ok: continue,2018-11-22 23:13:04
EWH,1,ok: continue,2018-11-22 23:13:04
EWW,1,ok: continue,2018-11-22 23:13:04
XBI,1,ok: continue,2018-11-22 23:13:04
DIA,1,ok: continue,2018-11-22 23:13:04
EWG,1,ok: continue,2018-11-22 23:13:04
VGK,1,ok: continue,2018-11-22 23:13:04
IEF,1,ok,2018-11-22 23:33:36
EMB,1,ok,2018-11-22 23:57:33
FEZ,1,ok,2018-11-23 00:21:33
AGG,1,ok,2018-11-23 00:41:01
ITB,1,ok,2018-11-22 23:33:30
EWC,1,ok,2018-11-22 23:57:25
UNG,1,ok,2018-11-23 00:21:22
USDJPY,1,ok,2018-11-23 01:31:12
GBPUSD,1,ok,2018-11-23 00:35:32
AUDUSD,1,ok,2018-11-23 01:39:15
USDCAD,1,ok,2018-11-23 02:30:26
EURJPY,1,ok,2018-11-23 03:14:57
NZDUSD,1,ok: continue,2018-11-22 23:13:04
XAGUSD,1,ok: continue,2018-11-22 23:13:04
