target,status,err,completion_time
EURUSD,1,ok,2018-11-16 07:03:10
EEM,1,ok,2018-11-16 07:24:53
EFA,1,ok,2018-11-16 07:47:19
EWZ,1,ok,2018-11-16 08:10:16
FXI,1,ok,2018-11-16 06:30:58
GDX,1,ok,2018-11-16 06:58:18
HYG,1,ok,2018-11-16 07:21:31
IAU,1,ok,2018-11-16 07:44:48
IWM,1,ok,2018-11-16 06:30:59
SPY,1,ok,2018-11-16 06:58:22
USO,1,ok,2018-11-16 07:21:39
VWO,1,ok,2018-11-16 07:45:09
XLE,1,ok,2018-11-16 06:31:00
XLF,1,ok,2018-11-16 06:58:31
XLI,1,ok,2018-11-16 07:21:49
XLK,1,ok,2018-11-16 07:45:13
XLP,1,ok,2018-11-16 08:08:23
XLU,1,ok,2018-11-16 08:32:02
XOP,1,ok,2018-11-16 08:55:55
JNK,1,ok,2018-11-16 09:22:14
IYR,1,ok,2018-11-16 08:08:52
VEA,1,ok,2018-11-16 08:32:35
SLV,1,ok,2018-11-16 08:56:32
XLV,1,ok,2018-11-16 09:23:07
RSX,1,ok,2018-11-16 08:08:52
TLT,1,ok,2018-11-16 08:32:40
EWJ,1,ok,2018-11-16 08:56:42
OIH,1,ok,2018-11-16 09:23:12
GLD,1,ok,2018-11-16 08:33:41
EZU,1,ok,2018-11-16 08:57:26
KRE,1,ok,2018-11-16 09:23:42
SMH,1,ok,2018-11-16 09:51:17
XLB,1,ok,2018-11-16 09:49:39
XRT,1,ok,2018-11-16 10:17:12
LQD,1,ok,2018-11-16 10:44:41
EWT,1,ok,2018-11-16 11:12:22
XLY,1,ok,2018-11-16 09:50:38
VNQ,1,ok,2018-11-16 10:18:12
EWH,1,ok,2018-11-16 10:45:47
EWW,1,ok,2018-11-16 11:13:28
XBI,1,ok,2018-11-16 09:50:45
DIA,1,ok,2018-11-16 10:18:15
EWG,1,ok,2018-11-16 10:45:54
VGK,1,ok,2018-11-16 11:13:37
IEF,1,ok,2018-11-16 10:18:45
EMB,1,ok,2018-11-16 10:46:19
FEZ,1,ok,2018-11-16 11:13:55
AGG,1,ok,2018-11-16 11:42:07
ITB,1,ok,2018-11-16 11:40:24
EWC,1,ok,2018-11-16 12:04:43
UNG,1,ok,2018-11-16 12:20:35
USDJPY,1,ok,2018-11-16 13:09:28
GBPUSD,1,ok,2018-11-16 12:12:17
AUDUSD,1,ok,2018-11-16 13:03:07
USDCAD,1,ok,2018-11-16 13:36:21
EURJPY,1,ok,2018-11-16 16:04:14
NZDUSD,1,ok,2018-11-16 12:12:24
XAGUSD,1,ok,2018-11-16 13:02:45
