target,status,err,completion_time
EURUSD,1,ok,2018-11-18 18:46:11
EEM,1,ok,2018-11-18 19:06:29
EFA,1,ok,2018-11-18 19:27:46
EWZ,1,ok,2018-11-18 19:49:43
FXI,1,ok,2018-11-18 18:17:15
GDX,1,ok,2018-11-18 18:42:04
HYG,1,ok,2018-11-18 19:02:16
IAU,1,ok,2018-11-18 19:23:01
IWM,1,ok,2018-11-18 18:17:23
SPY,1,ok,2018-11-18 18:42:13
USO,1,ok,2018-11-18 19:04:19
VWO,1,ok,2018-11-18 19:26:28
XLE,1,ok,2018-11-18 18:17:21
XLF,1,ok,2018-11-18 18:42:11
XLI,1,ok,2018-11-18 19:04:20
XLK,1,ok,2018-11-18 19:26:32
XLP,1,ok,2018-11-18 19:43:48
XLU,1,ok,2018-11-18 20:05:11
XOP,1,ok,2018-11-18 20:25:29
JNK,1,ok,2018-11-18 20:44:48
IYR,1,ok,2018-11-18 19:48:53
VEA,1,ok,2018-11-18 20:12:13
SLV,1,ok,2018-11-18 20:35:11
XLV,1,ok,2018-11-18 20:58:23
RSX,1,ok,2018-11-18 19:49:28
TLT,1,ok,2018-11-18 20:12:46
EWJ,1,ok,2018-11-18 20:35:40
OIH,1,ok,2018-11-18 20:59:00
GLD,1,ok,2018-11-18 20:12:52
EZU,1,ok,2018-11-18 20:35:46
KRE,1,ok,2018-11-18 20:59:00
SMH,1,ok,2018-11-18 21:22:47
XLB,1,ok,2018-11-18 21:06:13
XRT,1,ok,2018-11-18 21:28:33
LQD,1,ok,2018-11-18 21:51:16
EWT,1,ok,2018-11-18 22:14:35
XLY,1,ok,2018-11-18 21:22:09
VNQ,1,ok,2018-11-18 21:46:06
EWH,1,ok,2018-11-18 22:10:16
EWW,1,ok,2018-11-18 22:34:31
XBI,1,ok,2018-11-18 21:22:45
DIA,1,ok,2018-11-18 21:46:37
EWG,1,ok,2018-11-18 22:10:52
VGK,1,ok,2018-11-18 22:35:14
IEF,1,ok,2018-11-18 21:46:47
EMB,1,ok,2018-11-18 22:10:58
FEZ,1,ok,2018-11-18 22:35:25
AGG,1,ok,2018-11-18 23:00:46
ITB,1,ok,2018-11-18 22:38:15
EWC,1,ok,2018-11-18 23:03:44
UNG,1,ok,2018-11-18 23:25:26
USDJPY,1,ok,2018-11-19 00:18:37
GBPUSD,1,ok,2018-11-18 23:29:34
AUDUSD,1,ok,2018-11-19 00:22:58
USDCAD,1,ok,2018-11-19 00:54:23
EURJPY,1,ok,2018-11-19 01:25:53
NZDUSD,1,ok,2018-11-18 23:30:13
XAGUSD,1,ok,2018-11-19 00:23:22
