target,status,err,completion_time
EURUSD,1,ok,2018-11-03 04:07:40
EEM,1,ok,2018-11-03 04:41:07
EFA,1,ok,2018-11-03 05:15:43
EWZ,1,ok,2018-11-03 05:51:25
FXI,1,ok,2018-11-03 06:26:13
GDX,1,ok,2018-11-03 07:00:29
HYG,1,ok,2018-11-03 07:34:26
IAU,1,ok,2018-11-03 08:11:04
IWM,1,ok,2018-11-03 08:47:08
SPY,1,ok,2018-11-03 09:22:46
USO,1,ok,2018-11-03 09:58:32
VWO,1,ok,2018-11-03 10:34:53
XLE,1,ok,2018-11-03 11:12:17
XLF,1,ok,2018-11-03 11:38:21
XLI,1,ok,2018-11-03 12:07:55
XLK,1,ok,2018-11-03 12:38:00
XLP,1,ok,2018-11-03 13:08:06
XLU,1,ok,2018-11-03 13:33:19
XOP,1,ok,2018-11-03 14:03:37
JNK,1,ok,2018-11-03 14:34:07
IYR,1,ok,2018-11-03 15:03:57
VEA,1,ok,2018-11-03 15:27:12
SLV,1,ok,2018-11-03 15:53:54
XLV,1,ok,2018-11-03 16:20:41
RSX,1,ok,2018-11-03 16:46:43
TLT,1,ok,2018-11-03 17:11:04
EWJ,1,ok,2018-11-03 17:38:14
OIH,1,ok,2018-11-03 18:05:37
GLD,1,ok,2018-11-03 18:42:45
EZU,1,ok,2018-11-03 19:20:17
KRE,1,ok,2018-11-03 19:58:00
SMH,1,ok,2018-11-03 20:36:03
XLB,1,ok,2018-11-03 21:16:11
XRT,1,ok,2018-11-03 21:56:42
LQD,1,ok,2018-11-03 22:37:38
EWT,1,ok,2018-11-03 23:17:54
XLY,1,ok,2018-11-03 23:57:35
VNQ,1,ok,2018-11-04 00:37:31
EWH,1,ok,2018-11-04 01:18:09
EWW,1,ok,2018-11-04 01:58:56
XBI,1,ok,2018-11-04 01:40:13
DIA,1,ok,2018-11-04 02:22:01
EWG,1,ok,2018-11-04 02:50:19
VGK,1,ok,2018-11-04 03:23:58
IEF,1,ok,2018-11-04 03:58:25
EMB,1,ok,2018-11-04 04:29:33
FEZ,1,ok,2018-11-04 05:00:51
AGG,1,ok,2018-11-04 05:35:23
EWY,1,ok,2018-11-04 06:08:58
ITB,1,ok,2018-11-04 06:35:13
XHB,1,ok,2018-11-04 07:05:36
TBT,1,ok,2018-11-04 07:36:02
DBC,1,ok,2018-11-04 08:02:53
IBB,1,ok,2018-11-04 08:32:56
EWC,1,ok,2018-11-04 09:03:46
UNG,1,ok,2018-11-04 09:42:03
SHY,1,ok,2018-11-04 10:27:10
PFF,1,ok,2018-11-04 11:11:53
USDJPY,1,ok,2018-11-04 13:47:29
GBPUSD,1,ok,2018-11-04 16:24:20
AUDUSD,1,ok,2018-11-04 18:23:52
USDCHF,1,ok,2018-11-04 20:16:10
USDCAD,1,ok,2018-11-04 22:02:48
EURJPY,1,ok,2018-11-05 00:30:37
EURGBP,1,ok,2018-11-05 03:11:39
NZDUSD,1,ok,2018-11-05 05:53:23
XAGUSD,1,ok,2018-11-05 08:22:14
XAUUSD,1,ok,2018-11-05 10:28:58
