target,status,err,completion_time
EURUSD,1,ok: continue,2018-11-22 08:23:22
EEM,1,ok: continue,2018-11-22 08:23:22
EFA,1,ok: continue,2018-11-22 08:23:22
EWZ,1,ok: continue,2018-11-22 08:23:22
FXI,1,ok: continue,2018-11-22 08:23:22
GDX,1,ok: continue,2018-11-22 08:23:22
HYG,1,ok: continue,2018-11-22 08:23:22
IAU,1,ok: continue,2018-11-22 08:23:22
IWM,1,ok: continue,2018-11-22 08:23:22
SPY,1,ok: continue,2018-11-22 08:23:22
USO,1,ok: continue,2018-11-22 08:23:22
VWO,1,ok: continue,2018-11-22 08:23:22
XLE,1,ok: continue,2018-11-22 08:23:22
XLF,1,ok: continue,2018-11-22 08:23:22
XLI,1,ok: continue,2018-11-22 08:23:22
XLK,1,ok: continue,2018-11-22 08:23:22
XLP,1,ok: continue,2018-11-22 08:23:22
XLU,1,ok: continue,2018-11-22 08:23:22
XOP,1,ok: continue,2018-11-22 08:23:22
JNK,1,ok: continue,2018-11-22 08:23:22
IYR,1,ok: continue,2018-11-22 08:23:22
VEA,1,ok: continue,2018-11-22 08:23:22
SLV,1,ok: continue,2018-11-22 08:23:22
XLV,1,ok: continue,2018-11-22 08:23:22
RSX,1,ok: continue,2018-11-22 08:23:22
TLT,1,ok: continue,2018-11-22 08:23:22
EWJ,1,ok: continue,2018-11-22 08:23:22
OIH,1,ok: continue,2018-11-22 08:23:22
GLD,1,ok: continue,2018-11-22 08:23:22
EZU,1,ok: continue,2018-11-22 08:23:22
KRE,1,ok: continue,2018-11-22 08:23:22
SMH,1,ok: continue,2018-11-22 08:23:22
XLB,1,ok: continue,2018-11-22 08:23:22
XRT,1,ok: continue,2018-11-22 08:23:22
LQD,1,ok: continue,2018-11-22 08:23:22
EWT,1,ok: continue,2018-11-22 08:23:22
XLY,1,ok: continue,2018-11-22 08:23:22
VNQ,1,ok: continue,2018-11-22 08:23:22
EWH,1,ok: continue,2018-11-22 08:23:22
EWW,1,ok: continue,2018-11-22 08:23:22
XBI,1,ok: continue,2018-11-22 08:23:22
DIA,1,ok: continue,2018-11-22 08:23:22
EWG,1,ok: continue,2018-11-22 08:23:22
VGK,1,ok: continue,2018-11-22 08:23:22
IEF,1,ok,2018-11-22 08:44:22
EMB,1,ok,2018-11-22 09:07:54
FEZ,1,ok,2018-11-22 09:31:00
AGG,1,ok,2018-11-22 09:50:41
ITB,1,ok,2018-11-22 08:44:10
EWC,1,ok,2018-11-22 09:07:40
UNG,1,ok,2018-11-22 09:30:29
USDJPY,1,ok,2018-11-22 10:39:11
GBPUSD,1,ok,2018-11-22 09:46:06
AUDUSD,1,ok,2018-11-22 10:49:20
USDCAD,1,ok,2018-11-22 11:32:07
EURJPY,1,ok,2018-11-22 12:18:26
NZDUSD,1,ok: continue,2018-11-22 08:23:22
XAGUSD,1,ok: continue,2018-11-22 08:23:22
