target,status,err,completion_time
EURUSD,1,ok,2018-11-15 08:48:32
EEM,1,ok,2018-11-15 09:13:41
EFA,1,ok,2018-11-15 09:39:10
EWZ,1,ok,2018-11-15 10:04:53
FXI,1,ok,2018-11-15 08:14:49
GDX,1,ok,2018-11-15 08:42:51
HYG,1,ok,2018-11-15 09:08:34
IAU,1,ok,2018-11-15 09:34:51
IWM,1,ok,2018-11-15 08:14:44
SPY,1,ok,2018-11-15 08:42:52
USO,1,ok,2018-11-15 09:08:49
VWO,1,ok,2018-11-15 09:34:59
XLE,1,ok,2018-11-15 08:14:49
XLF,1,ok,2018-11-15 08:42:48
XLI,1,ok,2018-11-15 09:08:38
XLK,1,ok,2018-11-15 09:34:37
XLP,1,ok,2018-11-15 10:00:49
XLU,1,ok,2018-11-15 10:27:16
XOP,1,ok,2018-11-15 10:54:03
JNK,1,ok,2018-11-15 11:18:39
IYR,1,ok,2018-11-15 10:01:06
VEA,1,ok,2018-11-15 10:27:29
SLV,1,ok,2018-11-15 10:54:30
XLV,1,ok,2018-11-15 11:19:13
RSX,1,ok,2018-11-15 10:01:14
TLT,1,ok,2018-11-15 10:27:42
EWJ,1,ok,2018-11-15 10:54:27
OIH,1,ok,2018-11-15 11:19:05
GLD,1,ok,2018-11-15 10:30:59
EZU,1,ok,2018-11-15 10:56:59
KRE,1,ok,2018-11-15 11:20:59
SMH,1,ok,2018-11-15 11:44:51
XLB,1,ok,2018-11-15 11:42:59
XRT,1,ok,2018-11-15 12:06:40
LQD,1,ok,2018-11-15 12:30:03
EWT,1,ok,2018-11-15 12:53:15
XLY,1,ok,2018-11-15 11:43:46
VNQ,1,ok,2018-11-15 12:07:42
EWH,1,ok,2018-11-15 12:31:30
EWW,1,ok,2018-11-15 12:55:25
XBI,1,ok,2018-11-15 11:43:49
DIA,1,ok,2018-11-15 12:07:49
EWG,1,ok,2018-11-15 12:31:48
VGK,1,ok,2018-11-15 12:55:41
IEF,1,ok,2018-11-15 12:08:25
EMB,1,ok,2018-11-15 12:32:09
FEZ,1,ok,2018-11-15 12:55:47
AGG,1,ok,2018-11-15 13:21:11
ITB,1,ok,2018-11-15 13:17:25
EWC,1,ok,2018-11-15 13:42:19
UNG,1,ok,2018-11-15 14:02:49
USDJPY,1,ok,2018-11-15 14:58:36
GBPUSD,1,ok,2018-11-15 13:53:02
AUDUSD,1,ok,2018-11-15 14:50:31
USDCAD,1,ok,2018-11-15 15:24:59
EURJPY,1,ok,2018-11-15 15:57:58
NZDUSD,1,ok,2018-11-15 13:53:20
XAGUSD,1,ok,2018-11-15 14:50:57
