target,status,err,completion_time
EURUSD,1,ok,2018-11-21 10:29:59
EEM,1,ok,2018-11-21 10:54:48
EFA,1,ok,2018-11-21 11:19:45
EWZ,1,ok,2018-11-21 11:44:24
FXI,1,ok,2018-11-21 09:57:04
GDX,1,ok,2018-11-21 10:24:42
HYG,1,ok,2018-11-21 10:50:05
IAU,1,ok,2018-11-21 11:15:13
IWM,1,ok,2018-11-21 09:57:06
SPY,1,ok,2018-11-21 10:24:38
USO,1,ok,2018-11-21 10:50:00
VWO,1,ok,2018-11-21 11:15:33
XLE,1,ok,2018-11-21 09:57:15
XLF,1,ok,2018-11-21 10:24:53
XLI,1,ok,2018-11-21 10:50:08
XLK,1,ok,2018-11-21 11:15:29
XLP,1,ok,2018-11-21 11:40:32
XLU,1,ok,2018-11-21 12:04:14
XOP,1,ok,2018-11-21 12:27:38
JNK,1,ok,2018-11-21 12:50:55
IYR,1,ok,2018-11-21 11:41:05
VEA,1,ok,2018-11-21 12:04:55
SLV,1,ok,2018-11-21 12:28:38
XLV,1,ok,2018-11-21 12:52:25
RSX,1,ok,2018-11-21 11:40:57
TLT,1,ok,2018-11-21 12:04:53
EWJ,1,ok,2018-11-21 12:28:38
OIH,1,ok,2018-11-21 12:52:25
GLD,1,ok,2018-11-21 12:06:54
EZU,1,ok,2018-11-21 12:29:56
KRE,1,ok,2018-11-21 12:53:17
SMH,1,ok,2018-11-21 13:16:39
XLB,1,ok,2018-11-21 13:13:52
XRT,1,ok,2018-11-21 13:36:16
LQD,1,ok,2018-11-21 13:58:56
EWT,1,ok,2018-11-21 14:21:55
XLY,1,ok,2018-11-21 13:16:08
VNQ,1,ok,2018-11-21 13:39:35
EWH,1,ok,2018-11-21 14:03:34
EWW,1,ok,2018-11-21 14:27:45
XBI,1,ok,2018-11-21 13:16:07
DIA,1,ok,2018-11-21 13:39:34
EWG,1,ok,2018-11-21 14:03:34
VGK,1,ok,2018-11-21 14:27:44
IEF,1,ok,2018-11-21 13:39:54
EMB,1,ok,2018-11-21 14:03:44
FEZ,1,ok,2018-11-21 14:27:43
AGG,1,ok,2018-11-21 14:51:42
ITB,1,ok,2018-11-21 14:44:20
EWC,1,ok,2018-11-21 15:07:15
UNG,1,ok,2018-11-21 15:26:46
USDJPY,1,ok,2018-11-21 16:18:49
GBPUSD,1,ok,2018-11-21 15:22:07
AUDUSD,1,ok,2018-11-21 16:15:50
USDCAD,1,ok,2018-11-21 16:42:59
EURJPY,1,ok,2018-11-21 17:08:03
NZDUSD,1,ok,2018-11-21 15:22:11
XAGUSD,1,ok,2018-11-21 16:16:00
