target,status,err,completion_time
EURUSD,1,ok: continue,2018-12-04 13:19:34
EEM,1,ok: continue,2018-12-04 13:19:34
EFA,1,ok: continue,2018-12-04 13:19:34
EWZ,1,ok: continue,2018-12-04 13:19:34
FXI,1,ok: continue,2018-12-04 13:19:34
GDX,1,ok: continue,2018-12-04 13:19:34
HYG,1,ok: continue,2018-12-04 13:19:34
IAU,1,ok: continue,2018-12-04 13:19:34
IWM,1,ok: continue,2018-12-04 13:19:34
SPY,1,ok: continue,2018-12-04 13:19:34
USO,1,ok: continue,2018-12-04 13:19:34
VWO,1,ok: continue,2018-12-04 13:19:34
XLE,1,ok: continue,2018-12-04 13:19:34
XLF,1,ok: continue,2018-12-04 13:19:34
XLI,1,ok: continue,2018-12-04 13:19:34
XLK,1,ok: continue,2018-12-04 13:19:34
XLP,1,ok: continue,2018-12-04 13:19:34
XLU,1,ok: continue,2018-12-04 13:19:34
XOP,1,ok: continue,2018-12-04 13:19:34
JNK,1,ok: continue,2018-12-04 13:19:34
IYR,1,ok: continue,2018-12-04 13:19:34
VEA,1,ok: continue,2018-12-04 13:19:34
SLV,1,ok: continue,2018-12-04 13:19:34
XLV,1,ok: continue,2018-12-04 13:19:34
RSX,1,ok: continue,2018-12-04 13:19:34
TLT,1,ok: continue,2018-12-04 13:19:34
EWJ,1,ok: continue,2018-12-04 13:19:34
OIH,1,ok: continue,2018-12-04 13:19:34
GLD,1,ok: continue,2018-12-04 13:19:34
EZU,1,ok: continue,2018-12-04 13:19:34
KRE,1,ok: continue,2018-12-04 13:19:34
SMH,1,ok: continue,2018-12-04 13:19:34
XLB,1,ok: continue,2018-12-04 13:19:34
XRT,1,ok: continue,2018-12-04 13:19:34
LQD,1,ok: continue,2018-12-04 13:19:34
EWT,1,ok: continue,2018-12-04 13:19:34
XLY,1,ok: continue,2018-12-04 13:19:34
VNQ,1,ok: continue,2018-12-04 13:19:34
EWH,1,ok: continue,2018-12-04 13:19:34
EWW,1,ok: continue,2018-12-04 13:19:34
XBI,1,ok: continue,2018-12-04 13:19:34
DIA,1,ok: continue,2018-12-04 13:19:34
EWG,1,ok: continue,2018-12-04 13:19:34
VGK,1,ok: continue,2018-12-04 13:19:34
IEF,1,ok: continue,2018-12-04 13:19:34
EMB,1,ok: continue,2018-12-04 13:19:34
FEZ,1,ok: continue,2018-12-04 13:19:34
AGG,1,ok: continue,2018-12-04 13:19:34
UCO,1,ok: continue,2018-12-04 13:19:34
EWY,1,ok: continue,2018-12-04 13:19:34
ITB,1,ok: continue,2018-12-04 13:19:34
XHB,1,ok: continue,2018-12-04 13:19:34
TBT,1,ok: continue,2018-12-04 13:19:34
DBC,1,ok: continue,2018-12-04 13:19:34
IBB,1,ok: continue,2018-12-04 13:19:34
EWC,1,ok: continue,2018-12-04 13:19:34
UNG,1,ok: continue,2018-12-04 13:19:34
SHY,1,ok: continue,2018-12-04 13:19:34
PFF,1,ok: continue,2018-12-04 13:19:34
USDJPY,1,ok: continue,2018-12-04 13:19:34
GBPUSD,1,ok: continue,2018-12-04 13:19:34
AUDUSD,1,ok: continue,2018-12-04 13:19:34
USDCHF,1,ok: continue,2018-12-04 13:19:34
USDCAD,1,ok: continue,2018-12-04 13:19:34
EURJPY,1,ok: continue,2018-12-04 13:19:34
EURGBP,1,ok: continue,2018-12-04 13:19:34
NZDUSD,1,ok: continue,2018-12-04 13:19:34
XAGUSD,1,ok: continue,2018-12-04 13:19:34
XAUUSD,1,ok: continue,2018-12-04 13:19:34
