target,status,err,completion_time
EURUSD,1,ok,2018-11-17 03:11:10
EEM,1,ok,2018-11-17 03:34:59
EFA,1,ok,2018-11-17 03:58:13
EWZ,1,ok,2018-11-17 04:21:45
FXI,1,ok,2018-11-17 02:36:54
GDX,1,ok,2018-11-17 03:05:44
HYG,1,ok,2018-11-17 03:31:15
IAU,1,ok,2018-11-17 03:55:35
IWM,1,ok,2018-11-17 02:36:47
SPY,1,ok,2018-11-17 03:05:25
USO,1,ok,2018-11-17 03:30:53
VWO,1,ok,2018-11-17 03:55:12
XLE,1,ok,2018-11-17 02:36:53
XLF,1,ok,2018-11-17 03:05:39
XLI,1,ok,2018-11-17 03:31:06
XLK,1,ok,2018-11-17 03:55:13
XLP,1,ok,2018-11-17 04:19:29
XLU,1,ok,2018-11-17 04:43:04
XOP,1,ok,2018-11-17 05:06:53
JNK,1,ok,2018-11-17 05:30:44
IYR,1,ok,2018-11-17 04:19:35
VEA,1,ok,2018-11-17 04:43:08
SLV,1,ok,2018-11-17 05:07:00
XLV,1,ok,2018-11-17 05:31:08
RSX,1,ok,2018-11-17 04:19:58
TLT,1,ok,2018-11-17 04:43:44
EWJ,1,ok,2018-11-17 05:07:34
OIH,1,ok,2018-11-17 05:31:38
GLD,1,ok,2018-11-17 04:44:50
EZU,1,ok,2018-11-17 05:08:22
KRE,1,ok,2018-11-17 05:32:20
SMH,1,ok,2018-11-17 05:59:00
XLB,1,ok,2018-11-17 05:57:16
XRT,1,ok,2018-11-17 06:24:20
LQD,1,ok,2018-11-17 06:51:34
EWT,1,ok,2018-11-17 07:19:11
XLY,1,ok,2018-11-17 05:57:51
VNQ,1,ok,2018-11-17 06:25:04
EWH,1,ok,2018-11-17 06:52:32
EWW,1,ok,2018-11-17 07:19:59
XBI,1,ok,2018-11-17 05:58:26
DIA,1,ok,2018-11-17 06:25:39
EWG,1,ok,2018-11-17 06:53:06
VGK,1,ok,2018-11-17 07:20:40
IEF,1,ok,2018-11-17 06:26:07
EMB,1,ok,2018-11-17 06:53:32
FEZ,1,ok,2018-11-17 07:21:03
AGG,1,ok,2018-11-17 07:48:59
ITB,1,ok,2018-11-17 07:46:50
EWC,1,ok,2018-11-17 08:11:21
UNG,1,ok,2018-11-17 08:29:48
USDJPY,1,ok,2018-11-17 09:19:48
GBPUSD,1,ok,2018-11-17 08:19:36
AUDUSD,1,ok,2018-11-17 09:12:19
USDCAD,1,ok,2018-11-17 09:45:49
EURJPY,1,ok,2018-11-18 08:20:21
NZDUSD,1,ok,2018-11-17 08:20:09
XAGUSD,1,ok,2018-11-17 09:12:46
