,key,port
0,b_EWJ,5128
1,b_EWW,5129
2,b_TLT,5130
3,b_USDCAD,5131
4,b_USDJPY,5132
5,b_VWO,5133
6,b_XBI,5134
7,b_XLK,5135
8,b_XLY,5136
9,s_EWJ,5137
10,s_EWW,5138
11,s_TLT,5139
12,s_USDCAD,5140
13,s_USDJPY,5141
14,s_VWO,5142
15,s_XBI,5143
16,s_XLK,5144
17,s_XLY,5145
