target,status,err,completion_time
EURUSD,1,ok,2018-11-12 09:34:21
EEM,1,ok,2018-11-12 12:07:36
EFA,1,ok,2018-11-12 14:14:31
EWZ,1,ok,2018-11-12 16:51:18
FXI,1,ok,2018-11-12 19:21:09
GDX,1,ok,2018-11-12 03:12:05
HYG,1,ok,2018-11-12 05:42:35
IAU,1,ok,2018-11-12 08:02:11
IWM,1,ok,2018-11-12 10:37:21
SPY,1,ok,2018-11-12 13:03:59
USO,1,ok,2018-11-12 03:12:37
VWO,1,ok,2018-11-12 05:43:08
XLE,1,ok,2018-11-12 08:02:45
XLF,1,ok,2018-11-12 10:37:59
XLI,1,ok,2018-11-12 13:04:00
XLK,1,ok,2018-11-12 03:11:45
XLP,1,ok,2018-11-12 05:41:21
XLU,1,ok,2018-11-12 08:00:44
XOP,1,ok,2018-11-12 10:35:47
JNK,1,ok,2018-11-12 13:02:59
IYR,1,ok,2018-11-12 15:24:55
VEA,1,ok,2018-11-12 18:02:49
SLV,1,ok,2018-11-12 20:15:11
XLV,1,ok,2018-11-12 22:41:30
RSX,1,ok,2018-11-13 01:11:47
TLT,1,ok,2018-11-12 15:26:01
EWJ,1,ok,2018-11-12 18:03:17
OIH,1,ok,2018-11-12 20:16:00
GLD,1,ok,2018-11-12 22:41:53
EZU,1,ok,2018-11-13 01:11:37
KRE,1,ok,2018-11-12 15:24:51
SMH,1,ok,2018-11-12 18:02:52
XLB,1,ok,2018-11-12 20:15:35
XRT,1,ok,2018-11-12 22:41:43
LQD,1,ok,2018-11-13 01:11:38
EWT,1,ok,2018-11-12 21:27:16
XLY,1,ok,2018-11-12 23:58:11
VNQ,1,ok,2018-11-13 02:19:13
EWH,1,ok,2018-11-13 04:15:40
EWW,1,ok,2018-11-13 06:10:07
XBI,1,ok,2018-11-13 03:19:34
DIA,1,ok,2018-11-13 05:17:33
EWG,1,ok,2018-11-13 07:15:45
VGK,1,ok,2018-11-13 09:14:17
IEF,1,ok,2018-11-13 11:12:03
EMB,1,ok,2018-11-13 03:18:35
FEZ,1,ok,2018-11-13 05:16:06
AGG,1,ok,2018-11-13 07:13:53
UCO,1,ok,2018-11-13 09:10:53
EWY,1,ok,2018-11-13 11:08:02
ITB,1,ok,2018-11-13 03:19:35
XHB,1,ok,2018-11-13 05:17:24
TBT,1,ok,2018-11-13 07:15:32
DBC,1,ok,2018-11-13 09:13:57
IBB,1,ok,2018-11-13 11:11:29
EWC,1,ok,2018-11-13 08:04:16
UNG,1,ok,2018-11-13 09:57:15
SHY,1,ok,2018-11-13 11:39:09
PFF,1,ok,2018-11-13 13:02:00
USDJPY,1,ok,2018-11-13 18:31:09
GBPUSD,1,ok,2018-11-13 16:31:33
AUDUSD,1,ok,2018-11-13 21:22:40
USDCHF,1,ok,2018-11-14 01:53:47
USDCAD,1,ok,2018-11-14 06:26:18
EURJPY,1,ok,2018-11-14 10:18:47
EURGBP,1,ok,2018-11-13 16:37:38
NZDUSD,1,ok,2018-11-13 21:27:41
XAGUSD,1,ok,2018-11-14 01:59:43
XAUUSD,1,ok,2018-11-14 06:31:20
