target,status,err,completion_time
EURUSD,1,ok,2018-11-08 13:51:11
EEM,1,ok,2018-11-08 13:57:36
EFA,1,ok,2018-11-08 14:04:01
EWZ,1,ok,2018-11-08 14:10:26
FXI,1,ok,2018-11-08 14:16:52
GDX,1,ok,2018-11-08 14:23:17
HYG,1,ok,2018-11-08 14:29:45
IAU,1,ok,2018-11-08 14:36:13
IWM,1,ok,2018-11-08 13:31:33
SPY,1,ok,2018-11-08 13:38:18
USO,1,ok,2018-11-08 13:45:05
VWO,1,ok,2018-11-08 13:51:42
XLE,1,ok,2018-11-08 13:58:10
XLF,1,ok,2018-11-08 14:04:41
XLI,1,ok,2018-11-08 14:11:10
XLK,1,ok,2018-11-08 14:17:41
XLP,1,ok,2018-11-08 14:24:12
XLU,1,ok,2018-11-08 14:30:43
XOP,1,ok,2018-11-08 14:37:14
JNK,1,ok,2018-11-08 14:43:46
IYR,1,ok,2018-11-08 14:50:18
VEA,1,ok,2018-11-08 14:56:54
SLV,1,ok,2018-11-08 15:03:30
XLV,1,ok,2018-11-08 15:10:03
RSX,1,ok,2018-11-08 14:42:40
TLT,1,ok,2018-11-08 14:49:10
EWJ,1,ok,2018-11-08 14:55:38
OIH,1,ok,2018-11-08 15:02:06
GLD,1,ok,2018-11-08 15:08:37
EZU,1,ok,2018-11-08 15:15:07
KRE,1,ok,2018-11-08 15:21:40
SMH,1,ok,2018-11-08 15:28:10
XLB,1,ok,2018-11-08 15:16:40
XRT,1,ok,2018-11-08 15:23:16
LQD,1,ok,2018-11-08 15:29:53
EWT,1,ok,2018-11-08 15:36:34
XLY,1,ok,2018-11-08 15:43:14
VNQ,1,ok,2018-11-08 15:49:57
EWH,1,ok,2018-11-08 15:56:41
EWW,1,ok,2018-11-08 16:03:27
XBI,1,ok,2018-11-08 15:34:42
DIA,1,ok,2018-11-08 15:41:21
EWG,1,ok,2018-11-08 15:47:54
VGK,1,ok,2018-11-08 15:54:29
IEF,1,ok,2018-11-08 16:01:05
EMB,1,ok,2018-11-08 16:07:48
FEZ,1,ok,2018-11-08 16:14:28
AGG,1,ok,2018-11-08 16:21:08
ITB,1,ok,2018-11-08 16:10:12
EWC,1,ok,2018-11-08 16:16:59
UNG,1,ok,2018-11-08 16:23:33
USDJPY,1,ok,2018-11-08 16:50:24
GBPUSD,1,ok,2018-11-08 17:17:08
AUDUSD,1,ok,2018-11-08 17:39:51
USDCAD,1,ok,2018-11-08 18:02:34
EURJPY,1,ok,2018-11-08 18:25:48
NZDUSD,1,ok,2018-11-08 16:47:48
XAGUSD,1,ok,2018-11-08 17:14:29
