target,status,err,completion_time
EURUSD,1,ok,2018-11-05 17:19:57
EEM,1,ok,2018-11-05 18:02:32
EFA,1,ok,2018-11-05 18:44:50
EWZ,1,ok,2018-11-05 19:27:17
FXI,1,ok,2018-11-05 15:26:51
GDX,1,ok,2018-11-05 16:13:41
HYG,1,ok,2018-11-05 17:01:03
IAU,1,ok,2018-11-05 17:46:08
IWM,1,ok,2018-11-05 15:28:29
SPY,1,ok,2018-11-05 16:15:13
USO,1,ok,2018-11-05 17:02:38
VWO,1,ok,2018-11-05 17:47:55
XLE,1,ok,2018-11-05 15:29:15
XLF,1,ok,2018-11-05 16:16:06
XLI,1,ok,2018-11-05 17:03:23
XLK,1,ok,2018-11-05 17:48:23
XLP,1,ok,2018-11-05 15:27:35
XLU,1,ok,2018-11-05 16:14:39
XOP,1,ok,2018-11-05 17:02:05
JNK,1,ok,2018-11-05 17:47:20
IYR,1,ok,2018-11-05 18:30:41
VEA,1,ok,2018-11-05 19:15:52
SLV,1,ok,2018-11-05 20:00:46
XLV,1,ok,2018-11-05 20:45:45
RSX,1,ok,2018-11-05 18:31:53
TLT,1,ok,2018-11-05 19:17:05
EWJ,1,ok,2018-11-05 20:02:14
OIH,1,ok,2018-11-05 20:47:00
GLD,1,ok,2018-11-05 18:32:27
EZU,1,ok,2018-11-05 19:17:45
KRE,1,ok,2018-11-05 20:03:00
SMH,1,ok,2018-11-05 20:47:42
XLB,1,ok,2018-11-05 18:32:58
XRT,1,ok,2018-11-05 19:18:10
LQD,1,ok,2018-11-05 20:03:15
EWT,1,ok,2018-11-05 20:48:11
XLY,1,ok,2018-11-05 20:10:16
VNQ,1,ok,2018-11-05 20:54:09
EWH,1,ok,2018-11-05 21:38:49
EWW,1,ok,2018-11-05 22:24:36
XBI,1,ok,2018-11-05 21:30:45
DIA,1,ok,2018-11-05 22:16:57
EWG,1,ok,2018-11-05 23:03:14
VGK,1,ok,2018-11-05 23:51:48
IEF,1,ok,2018-11-05 21:32:05
EMB,1,ok,2018-11-05 22:18:31
FEZ,1,ok,2018-11-05 23:05:23
AGG,1,ok,2018-11-05 23:54:59
EWY,1,ok,2018-11-05 21:33:20
ITB,1,ok,2018-11-05 22:20:08
XHB,1,ok,2018-11-05 23:06:57
TBT,1,ok,2018-11-05 23:56:37
DBC,1,ok,2018-11-05 21:33:19
IBB,1,ok,2018-11-05 22:20:05
EWC,1,ok,2018-11-05 23:07:07
UNG,1,ok,2018-11-05 23:56:47
SHY,1,ok,2018-11-05 23:10:37
PFF,1,ok,2018-11-05 23:59:09
USDJPY,1,ok,2018-11-06 01:58:54
GBPUSD,1,ok,2018-11-06 04:03:19
AUDUSD,1,ok,2018-11-06 01:53:29
USDCHF,1,ok,2018-11-06 03:58:19
USDCAD,1,ok,2018-11-06 05:42:32
EURJPY,1,ok,2018-11-06 07:20:57
EURGBP,1,ok,2018-11-06 01:56:43
NZDUSD,1,ok,2018-11-06 04:01:19
XAGUSD,1,ok,2018-11-06 05:46:08
XAUUSD,1,ok,2018-11-06 07:22:44
