target,status,err,completion_time
EURUSD,1,ok,2018-11-12 01:54:03
EEM,1,ok,2018-11-12 02:10:06
EFA,1,ok,2018-11-12 02:26:12
EWZ,1,ok,2018-11-12 02:42:12
FXI,1,ok,2018-11-12 01:07:49
GDX,1,ok,2018-11-12 01:25:03
HYG,1,ok,2018-11-12 01:42:55
IAU,1,ok,2018-11-12 02:00:00
IWM,1,ok,2018-11-12 01:07:52
SPY,1,ok,2018-11-12 01:25:16
USO,1,ok,2018-11-12 01:43:16
VWO,1,ok,2018-11-12 02:00:28
XLE,1,ok,2018-11-12 01:07:57
XLF,1,ok,2018-11-12 01:25:20
XLI,1,ok,2018-11-12 01:43:16
XLK,1,ok,2018-11-12 02:00:24
XLP,1,ok,2018-11-12 02:17:07
XLU,1,ok,2018-11-12 02:34:16
XOP,1,ok,2018-11-12 02:51:29
JNK,1,ok,2018-11-12 03:08:36
IYR,1,ok,2018-11-12 02:17:34
VEA,1,ok,2018-11-12 02:34:53
SLV,1,ok,2018-11-12 02:52:05
XLV,1,ok,2018-11-12 03:09:22
RSX,1,ok,2018-11-12 02:17:33
TLT,1,ok,2018-11-12 02:34:45
EWJ,1,ok,2018-11-12 02:51:56
OIH,1,ok,2018-11-12 03:09:05
GLD,1,ok,2018-11-12 02:58:20
EZU,1,ok,2018-11-12 03:14:38
KRE,1,ok,2018-11-12 03:30:05
SMH,1,ok,2018-11-12 03:45:38
XLB,1,ok,2018-11-12 03:25:52
XRT,1,ok,2018-11-12 03:42:23
LQD,1,ok,2018-11-12 03:59:11
EWT,1,ok,2018-11-12 04:16:33
XLY,1,ok,2018-11-12 03:26:21
VNQ,1,ok,2018-11-12 03:42:57
EWH,1,ok,2018-11-12 03:59:51
EWW,1,ok,2018-11-12 04:17:29
XBI,1,ok,2018-11-12 03:26:32
DIA,1,ok,2018-11-12 03:43:10
EWG,1,ok,2018-11-12 04:00:07
VGK,1,ok,2018-11-12 04:17:43
IEF,1,ok,2018-11-12 04:02:29
EMB,1,ok,2018-11-12 04:19:38
FEZ,1,ok,2018-11-12 04:34:15
AGG,1,ok,2018-11-12 04:52:40
ITB,1,ok,2018-11-12 04:30:27
EWC,1,ok,2018-11-12 04:49:02
UNG,1,ok,2018-11-12 05:05:06
USDJPY,1,ok,2018-11-12 05:59:49
GBPUSD,1,ok,2018-11-12 05:17:36
AUDUSD,1,ok,2018-11-12 06:09:55
USDCAD,1,ok,2018-11-12 06:45:31
EURJPY,1,ok,2018-11-12 07:21:20
NZDUSD,1,ok,2018-11-12 05:17:46
XAGUSD,1,ok,2018-11-12 06:09:57
