target,status,err,completion_time
EURUSD,1,ok,2018-11-08 08:52:24
EEM,1,ok,2018-11-08 08:58:46
EFA,1,ok,2018-11-08 09:05:10
EWZ,1,ok,2018-11-08 09:11:33
FXI,1,ok,2018-11-08 09:17:56
GDX,1,ok,2018-11-08 09:24:21
HYG,1,ok,2018-11-08 09:30:46
IAU,1,ok,2018-11-08 09:37:12
IWM,1,ok,2018-11-08 08:32:50
SPY,1,ok,2018-11-08 08:39:34
USO,1,ok,2018-11-08 08:46:17
VWO,1,ok,2018-11-08 08:52:53
XLE,1,ok,2018-11-08 08:59:21
XLF,1,ok,2018-11-08 09:05:48
XLI,1,ok,2018-11-08 09:12:16
XLK,1,ok,2018-11-08 09:18:45
XLP,1,ok,2018-11-08 09:25:14
XLU,1,ok,2018-11-08 09:31:45
XOP,1,ok,2018-11-08 09:38:14
JNK,1,ok,2018-11-08 09:44:42
IYR,1,ok,2018-11-08 09:51:12
VEA,1,ok,2018-11-08 09:57:44
SLV,1,ok,2018-11-08 10:04:17
XLV,1,ok,2018-11-08 10:10:50
RSX,1,ok,2018-11-08 09:43:40
TLT,1,ok,2018-11-08 09:50:06
EWJ,1,ok,2018-11-08 09:56:33
OIH,1,ok,2018-11-08 10:03:01
GLD,1,ok,2018-11-08 10:09:31
EZU,1,ok,2018-11-08 10:15:59
KRE,1,ok,2018-11-08 10:22:30
SMH,1,ok,2018-11-08 10:28:59
XLB,1,ok,2018-11-08 10:17:24
XRT,1,ok,2018-11-08 10:24:01
LQD,1,ok,2018-11-08 10:30:36
EWT,1,ok,2018-11-08 10:37:17
XLY,1,ok,2018-11-08 10:43:55
VNQ,1,ok,2018-11-08 10:50:34
EWH,1,ok,2018-11-08 10:57:16
EWW,1,ok,2018-11-08 11:03:59
XBI,1,ok,2018-11-08 10:35:30
DIA,1,ok,2018-11-08 10:42:03
EWG,1,ok,2018-11-08 10:48:36
VGK,1,ok,2018-11-08 10:55:11
IEF,1,ok,2018-11-08 11:01:46
EMB,1,ok,2018-11-08 11:08:21
FEZ,1,ok,2018-11-08 11:14:59
AGG,1,ok,2018-11-08 11:21:41
ITB,1,ok,2018-11-08 11:10:45
EWC,1,ok,2018-11-08 11:17:33
UNG,1,ok,2018-11-08 11:24:08
USDJPY,1,ok,2018-11-08 11:51:04
GBPUSD,1,ok,2018-11-08 12:17:53
AUDUSD,1,ok,2018-11-08 12:40:36
USDCAD,1,ok,2018-11-08 13:03:21
EURJPY,1,ok,2018-11-08 13:26:15
NZDUSD,1,ok,2018-11-08 11:48:16
XAGUSD,1,ok,2018-11-08 12:14:54
