target,status,err,completion_time
EURUSD,1,ok,2018-11-12 15:03:50
EEM,1,ok,2018-11-12 15:20:54
EFA,1,ok,2018-11-12 15:37:28
EWZ,1,ok,2018-11-12 15:52:56
FXI,1,ok,2018-11-12 14:12:55
GDX,1,ok,2018-11-12 14:31:28
HYG,1,ok,2018-11-12 14:50:12
IAU,1,ok,2018-11-12 15:08:02
IWM,1,ok,2018-11-12 14:13:01
SPY,1,ok,2018-11-12 14:31:42
USO,1,ok,2018-11-12 14:50:17
VWO,1,ok,2018-11-12 15:08:03
XLE,1,ok,2018-11-12 14:12:58
XLF,1,ok,2018-11-12 14:31:33
XLI,1,ok,2018-11-12 14:50:13
XLK,1,ok,2018-11-12 15:08:00
XLP,1,ok,2018-11-12 15:25:55
XLU,1,ok,2018-11-12 15:43:03
XOP,1,ok,2018-11-12 16:00:05
JNK,1,ok,2018-11-12 16:17:52
IYR,1,ok,2018-11-12 15:25:59
VEA,1,ok,2018-11-12 15:43:03
SLV,1,ok,2018-11-12 16:00:06
XLV,1,ok,2018-11-12 16:17:54
RSX,1,ok,2018-11-12 15:26:00
TLT,1,ok,2018-11-12 15:43:09
EWJ,1,ok,2018-11-12 16:00:08
OIH,1,ok,2018-11-12 16:17:54
GLD,1,ok,2018-11-12 16:08:59
EZU,1,ok,2018-11-12 16:26:13
KRE,1,ok,2018-11-12 16:43:30
SMH,1,ok,2018-11-12 17:00:33
XLB,1,ok,2018-11-12 16:35:56
XRT,1,ok,2018-11-12 16:53:57
LQD,1,ok,2018-11-12 17:11:42
EWT,1,ok,2018-11-12 17:29:23
XLY,1,ok,2018-11-12 16:36:03
VNQ,1,ok,2018-11-12 16:54:11
EWH,1,ok,2018-11-12 17:12:03
EWW,1,ok,2018-11-12 17:29:54
XBI,1,ok,2018-11-12 16:35:59
DIA,1,ok,2018-11-12 16:54:05
EWG,1,ok,2018-11-12 17:12:00
VGK,1,ok,2018-11-12 17:29:52
IEF,1,ok,2018-11-12 17:17:23
EMB,1,ok,2018-11-12 17:33:47
FEZ,1,ok,2018-11-12 17:49:48
AGG,1,ok,2018-11-12 18:08:27
ITB,1,ok,2018-11-12 17:43:38
EWC,1,ok,2018-11-12 18:02:29
UNG,1,ok,2018-11-12 18:18:06
USDJPY,1,ok,2018-11-12 19:11:18
GBPUSD,1,ok,2018-11-12 18:30:17
AUDUSD,1,ok,2018-11-12 19:23:57
USDCAD,1,ok,2018-11-12 20:00:03
EURJPY,1,ok,2018-11-12 20:33:15
NZDUSD,1,ok,2018-11-12 18:30:22
XAGUSD,1,ok,2018-11-12 19:24:17
