target,status,err,completion_time
EURUSD,1,ok,2018-11-03 20:45:44
EEM,1,ok,2018-11-03 21:28:56
EFA,1,ok,2018-11-03 22:11:46
EWZ,1,ok,2018-11-03 22:54:52
FXI,1,ok,2018-11-03 18:53:06
GDX,1,ok,2018-11-03 19:40:39
HYG,1,ok,2018-11-03 20:28:18
IAU,1,ok,2018-11-03 21:13:48
IWM,1,ok,2018-11-03 18:52:24
SPY,1,ok,2018-11-03 19:39:58
USO,1,ok,2018-11-03 20:27:43
VWO,1,ok,2018-11-03 21:13:09
XLE,1,ok,2018-11-03 18:51:54
XLF,1,ok,2018-11-03 19:39:34
XLI,1,ok,2018-11-03 20:27:13
XLK,1,ok,2018-11-03 21:12:28
XLP,1,ok,2018-11-03 18:53:07
XLU,1,ok,2018-11-03 19:40:46
XOP,1,ok,2018-11-03 20:28:27
JNK,1,ok,2018-11-03 21:13:58
IYR,1,ok,2018-11-03 21:57:15
VEA,1,ok,2018-11-03 22:42:45
SLV,1,ok,2018-11-03 23:27:59
XLV,1,ok,2018-11-04 00:13:47
RSX,1,ok,2018-11-03 21:58:28
TLT,1,ok,2018-11-03 22:43:40
EWJ,1,ok,2018-11-03 23:28:52
OIH,1,ok,2018-11-04 00:14:42
GLD,1,ok,2018-11-03 21:59:00
EZU,1,ok,2018-11-03 22:44:14
KRE,1,ok,2018-11-03 23:29:36
SMH,1,ok,2018-11-04 00:15:25
XLB,1,ok,2018-11-03 21:59:00
XRT,1,ok,2018-11-03 22:44:12
LQD,1,ok,2018-11-03 23:29:33
EWT,1,ok,2018-11-04 00:15:23
XLY,1,ok,2018-11-03 23:38:01
VNQ,1,ok,2018-11-04 00:22:11
EWH,1,ok,2018-11-04 01:06:51
EWW,1,ok,2018-11-04 01:52:08
XBI,1,ok,2018-11-04 01:00:01
DIA,1,ok,2018-11-04 01:45:48
EWG,1,ok,2018-11-04 01:31:48
VGK,1,ok,2018-11-04 02:17:19
IEF,1,ok,2018-11-04 01:00:43
EMB,1,ok,2018-11-04 01:46:47
FEZ,1,ok,2018-11-04 01:33:01
AGG,1,ok,2018-11-04 02:18:56
EWY,1,ok,2018-11-04 01:01:25
ITB,1,ok,2018-11-04 01:47:37
XHB,1,ok,2018-11-04 01:33:56
TBT,1,ok,2018-11-04 02:19:59
DBC,1,ok,2018-11-04 01:01:48
IBB,1,ok,2018-11-04 01:48:02
EWC,1,ok,2018-11-04 01:34:20
UNG,1,ok,2018-11-04 02:20:30
SHY,1,ok,2018-11-04 01:37:17
PFF,1,ok,2018-11-04 02:22:21
USDJPY,1,ok,2018-11-04 04:14:28
GBPUSD,1,ok,2018-11-04 06:06:48
AUDUSD,1,ok,2018-11-04 04:10:28
USDCHF,1,ok,2018-11-04 06:03:49
USDCAD,1,ok,2018-11-04 07:39:48
EURJPY,1,ok,2018-11-04 09:16:00
EURGBP,1,ok,2018-11-04 04:11:48
NZDUSD,1,ok,2018-11-04 06:05:10
XAGUSD,1,ok,2018-11-04 07:40:32
XAUUSD,1,ok,2018-11-04 09:15:58
