target,status,err,completion_time
EURUSD,1,ok,2018-11-02 08:02:11
EEM,1,ok,2018-11-02 08:35:50
EFA,1,ok,2018-11-02 06:36:27
EWZ,1,ok,2018-11-02 07:15:18
FXI,1,ok,2018-11-02 06:36:36
HYG,1,ok,2018-11-02 07:15:23
IAU,1,ok,2018-11-02 06:36:33
IWM,1,ok,2018-11-02 07:15:22
SPY,1,ok,2018-11-02 06:36:38
VWO,1,ok,2018-11-02 07:15:23
XLE,1,ok,2018-11-02 06:36:33
XLF,1,ok,2018-11-02 07:15:18
XLI,1,ok,2018-11-02 06:36:23
XLK,1,ok,2018-11-02 07:15:07
XLP,1,ok,2018-11-02 06:36:28
XLU,1,ok,2018-11-02 07:15:17
XOP,1,ok,2018-11-02 07:54:01
JNK,1,ok,2018-11-02 08:31:59
IYR,1,ok,2018-11-02 07:54:06
VEA,1,ok,2018-11-02 08:32:08
SLV,1,ok,2018-11-02 07:54:10
XLV,1,ok,2018-11-02 08:32:13
RSX,1,ok,2018-11-02 07:54:10
TLT,1,ok,2018-11-02 08:32:08
EWJ,1,ok,2018-11-02 07:54:17
OIH,1,ok,2018-11-02 08:32:20
GLD,1,ok,2018-11-02 07:54:13
EZU,1,ok,2018-11-02 08:32:15
KRE,1,ok,2018-11-02 07:54:10
SMH,1,ok,2018-11-02 08:32:08
XLB,1,ok,2018-11-02 09:10:05
XRT,1,ok,2018-11-02 09:48:25
LQD,1,ok,2018-11-02 09:10:19
EWT,1,ok,2018-11-02 09:48:36
XLY,1,ok,2018-11-02 09:10:15
VNQ,1,ok,2018-11-02 09:48:33
EWH,1,ok,2018-11-02 09:10:17
EWW,1,ok,2018-11-02 09:48:38
XBI,1,ok,2018-11-02 09:10:23
DIA,1,ok,2018-11-02 09:48:42
EWG,1,ok,2018-11-02 09:10:19
VGK,1,ok,2018-11-02 09:48:38
IEF,1,ok,2018-11-02 09:10:30
EMB,1,ok,2018-11-02 09:48:49
FEZ,1,ok,2018-11-02 09:12:06
AGG,1,ok,2018-11-02 09:49:12
EWC,1,ok,2018-11-02 10:00:42
USDJPY,1,ok,2018-11-02 10:51:10
AUDUSD,1,ok,2018-11-02 10:38:00
USDCAD,1,ok,2018-11-02 11:21:35
EURJPY,1,ok,2018-11-02 10:37:51
NZDUSD,1,ok,2018-11-02 11:21:25
