target,status,err,completion_time
EURUSD,1,ok,2018-11-08 22:33:02
EEM,1,ok,2018-11-08 22:42:26
EFA,1,ok,2018-11-08 22:51:48
EWZ,1,ok,2018-11-08 23:01:06
FXI,1,ok,2018-11-08 23:10:23
GDX,1,ok,2018-11-08 23:19:41
HYG,1,ok,2018-11-08 23:28:54
IAU,1,ok,2018-11-08 23:38:15
IWM,1,ok,2018-11-08 22:05:20
SPY,1,ok,2018-11-08 22:14:30
USO,1,ok,2018-11-08 22:23:40
VWO,1,ok,2018-11-08 22:33:18
XLE,1,ok,2018-11-08 22:42:46
XLF,1,ok,2018-11-08 22:52:16
XLI,1,ok,2018-11-08 23:01:38
XLK,1,ok,2018-11-08 23:10:59
XLP,1,ok,2018-11-08 23:20:24
XLU,1,ok,2018-11-08 23:29:43
XOP,1,ok,2018-11-08 23:39:11
JNK,1,ok,2018-11-08 23:48:29
IYR,1,ok,2018-11-08 23:57:56
VEA,1,ok,2018-11-09 00:07:45
SLV,1,ok,2018-11-09 00:17:48
XLV,1,ok,2018-11-09 00:27:47
RSX,1,ok,2018-11-08 23:47:31
TLT,1,ok,2018-11-08 23:56:47
EWJ,1,ok,2018-11-09 00:06:27
OIH,1,ok,2018-11-09 00:16:22
GLD,1,ok,2018-11-09 00:26:12
EZU,1,ok,2018-11-09 00:36:10
KRE,1,ok,2018-11-09 00:45:50
SMH,1,ok,2018-11-09 00:55:29
XLB,1,ok,2018-11-09 00:37:52
XRT,1,ok,2018-11-09 00:47:35
LQD,1,ok,2018-11-09 00:57:26
EWT,1,ok,2018-11-09 01:06:53
XLY,1,ok,2018-11-09 01:16:25
VNQ,1,ok,2018-11-09 01:26:05
EWH,1,ok,2018-11-09 01:36:17
EWW,1,ok,2018-11-09 01:46:36
XBI,1,ok,2018-11-09 01:05:00
DIA,1,ok,2018-11-09 01:14:18
EWG,1,ok,2018-11-09 01:23:44
VGK,1,ok,2018-11-09 01:33:22
IEF,1,ok,2018-11-09 01:43:31
EMB,1,ok,2018-11-09 01:53:38
FEZ,1,ok,2018-11-09 02:03:49
AGG,1,ok,2018-11-09 02:14:13
ITB,1,ok,2018-11-09 01:57:01
EWC,1,ok,2018-11-09 02:07:28
UNG,1,ok,2018-11-09 02:17:42
USDJPY,1,ok,2018-11-09 02:58:10
GBPUSD,1,ok,2018-11-09 03:39:01
AUDUSD,1,ok,2018-11-09 04:10:00
USDCAD,1,ok,2018-11-09 04:40:45
EURJPY,1,ok,2018-11-09 05:16:15
NZDUSD,1,ok,2018-11-09 02:54:45
XAGUSD,1,ok,2018-11-09 03:34:50
