,key,port
0,b_DBC,5180
1,b_EMB,5181
2,b_NZDUSD,5182
3,b_XAUUSD,5183
4,b_XBI,5184
5,s_DBC,5185
6,s_EMB,5186
7,s_NZDUSD,5187
8,s_XAUUSD,5188
9,s_XBI,5189
